name,regex,dictabert,hebert,regex_sources,dictabert_sources,hebert_sources
בהא,,✓,,0,2,0
בוגארט,,,✓,0,0,2
בוי,,✓,,0,2,0
בונ,,✓,,0,1,0
בועז יהונתן יעקב,,✓,✓,0,2,2
בוריס לוז ' קין,,✓,✓,0,4,2
בוריס לוז'קין מדינה צרפת,✓,,,2,0,0
ביג זי,,✓,✓,0,4,4
ביילי,,✓,✓,0,2,2
בימוי אורן גרנר,✓,,,2,0,0
בימוי לי דרור,✓,,,2,0,0
בימוי שירה גפן,✓,,,2,0,0
בימויאורן גרנר,✓,,✓,2,0,1
בימויג ' ון קסאווטס,,,✓,0,0,2
בימויג ' ורג ' רוי היל מדינה,,,✓,0,0,1
בימויעמרי ברזילי ועומר בן - דוד מדינהישראל,,,✓,0,0,1
בימוישירה גפן,✓,,,2,0,0
בלגיה,,,✓,0,0,2
בלו,,✓,,0,2,0
בלו דובר,,✓,,0,2,0
בלו דוברצקי,,,✓,0,0,2
בלז,,✓,,0,4,0
בליז,,,✓,0,0,2
בן גריי,,✓,✓,0,2,2
בן דוד,,✓,,0,2,0
בן דוד מדינה,,✓,,0,1,0
בני אבני,,✓,✓,0,2,2
בסטי,,✓,,0,2,0
בסטיאן בויון,,,✓,0,0,2
בסטיאן בויון מגיש הופעה,✓,,,4,0,0
בראבא,,✓,,0,2,0
ברגמן,,✓,✓,0,2,2
ברוני טד,,✓,,0,2,0
בריז ' יט בארד,,✓,,0,2,0
בריז ' יט בארדו,,,✓,0,0,2
ברני,,✓,,0,5,0
ברנינג,,,✓,0,0,4
ברנינג מן,,,✓,0,0,7
ברקוביץ ',,✓,,0,2,0
ג ' וליאן מור,,✓,,0,2,0
ג ' וליאן מור וטילדה סווינטון,,,✓,0,0,2
ג ' ון אלו,,✓,,0,4,0
ג ' ון אלונזו,,,✓,0,0,4
ג ' ון קס,,✓,✓,0,4,2
ג ' ון קסאווטס,,,✓,0,0,2
ג ' ונתן גלייזר,,✓,✓,0,2,6
ג ' ונתן דמי,,✓,✓,0,2,6
ג ' ונתן דמי מדינה,,,✓,0,0,6
ג ' ורג ',,✓,,0,1,0
ג ' ורג ' רוי,,,✓,0,0,2
ג ' ורג ' רוי היל,,✓,✓,0,3,2
ג ' יבל,,✓,,0,4,0
ג ' יבלי,,,✓,0,0,2
ג ' יי,,✓,,0,1,0
ג ' יילן,,✓,,0,4,0
ג ' ייק גיט,,✓,,0,4,0
ג ' ייק גיטס,,,✓,0,0,4
ג ' ין הקמ,,✓,,0,2,0
ג ' ין הקמן,,,✓,0,0,2
ג ' ני,,,✓,0,0,2
ג ' סיקה צ ' סטיין,,✓,✓,0,2,2
ג ' ק ניקולסון,,✓,✓,0,4,4
ג ' רי גולד,,✓,,0,4,0
ג ' רי גולדסמית ',,,✓,0,0,4
ג'ון קסאווטס מדינה ארה״ב,✓,,,2,0,0
ג'ונתן גלייזר מדינה ארה,✓,,,6,0,0
ג'ונתן דמי מדינה ארה,✓,,,6,0,0
ג'ורג' רוי היל בונה,✓,,,4,0,0
ג'ורג' רוי היל מדינה,✓,,,2,0,0
גאורגי אונק,,✓,,0,4,0
גאורגי אונקובסקי,,,✓,0,0,2
גאורגי אונקובסקי מדינה צפון,✓,,,2,0,0
גבר ואישה ברגע אינטימי,✓,,,4,0,0
גודאר,,✓,✓,0,2,2
גווא,,✓,,0,1,0
גוואן מדינה,,,✓,0,0,2
גולן,,✓,,0,6,0
גולן מדינה,,✓,,0,2,0
גוני,,✓,✓,0,4,4
גוסטב,,✓,,0,2,0
גוסטב ( סטלן סקארסגארד ),,,✓,0,0,2
גי ' עא,,✓,,0,2,0
גי ' עאן - בראבא,,,✓,0,0,2
גיא,,✓,,0,2,0
גיא כיירא,,,✓,0,0,2
גילה,,✓,✓,0,6,4
גילי וייס,,✓,✓,0,2,2
גינ,,✓,,0,4,0
גינטס זילבאלו,,,✓,0,0,2
גינטס זילבאלודיס מדינה בלגיה,✓,,,2,0,0
גל אל,,✓,,0,2,0
גל אל - עד,,,✓,0,0,2
גל רומבק,,,✓,0,0,2
גלוריה,,✓,✓,0,2,8
גלוריה אמא,,✓,,0,1,0
גלוריה בס,,✓,✓,0,2,2
גלוריה גלוריה,,✓,✓,0,2,2
גלי,,✓,✓,0,6,4
גלי סמו,,✓,✓,0,2,2
גלייזר,,✓,,0,2,0
גרה מדינה,,,✓,0,0,1
דה - ויט,,✓,,0,4,0
דוד,,,✓,0,0,3
דוד וולך,,✓,✓,0,6,4
דוד וולך שנה,✓,,,6,0,0
דויד,,✓,✓,0,4,4
דולב רפאלי,,✓,✓,0,2,2
דונ,,✓,,0,3,0
דונזלי,,,✓,0,0,2
דטו,,,✓,0,0,2
דטו ומרינה,,,✓,0,0,2
דידי,,✓,✓,0,2,2
דיוקן,,,✓,0,0,2
דייגו ס,,,✓,0,0,2
דייגו סס,,✓,✓,0,6,2
דייגו סספדס,,,✓,0,0,1
דייגו סספדס מדינה צ'ילה,✓,,,2,0,0
דייזי פיל,,✓,,0,2,0
דייזי פילמס,,,✓,0,0,2
דילן,,✓,,0,6,0
דילן יוסף שטרית,,✓,✓,0,2,4
דילן יוסף שטרית מדינה,✓,,,2,0,0
דילן יוסף שטרית מדינהישראל,,,✓,0,0,1
דילן יוסף שטרית קרין טרדייה וולטר סאלס פדרו אלמודובר מאיה קניג וים ונדרס מייקל דודוק דה - ויט מישל אוסלו,,,✓,0,0,2
דליה,,✓,✓,0,6,14
דלפרו,,,✓,0,0,1
דמיו,,,✓,0,0,2
דמיין,,,✓,0,0,1
דנה ידלין,,✓,✓,0,2,2
דני זר,,✓,,0,2,0
דני זרנסיקי חבילות,,,✓,0,0,2
דניאל,,✓,✓,0,6,6
דניאל אויערבאך דניאל אויערבאך,,,✓,0,0,4
דניאל וטוני,,,✓,0,0,4
דניאל חבקוק,,✓,✓,0,2,2
דניאלה נובי,,✓,,0,2,0
דניאלה נוביץ,,,✓,0,0,2
דפנה,,✓,,0,2,0
דפנה אוו,,✓,,0,6,0
דפנה אוודיש גולן,✓,,✓,4,0,6
דפנה אוודיש גולן דילן יוסף שטרית לי דרור רונאר רונארסון אנדריאה ארנולד פיאל קפאדיה עמנואל פארבו הו גוואן בוריס לוז ' קין אגאת רידינגר לואיז קור,,,✓,0,0,2
דפנה אוודיש גולן מדינה,✓,,,2,0,0
דרור,,✓,,0,4,0
דרור מדינה,,,✓,0,0,2
דרור מרקו,,✓,✓,0,2,2
דרור רונ,,✓,,0,2,0
האב צוקים,,,✓,0,0,1
האגדית שהלכה לעולמה מוקדם,✓,,,2,0,0
האוול,,✓,✓,0,2,2
האוקראיני לוקח אותנו הפעם,✓,,,4,0,0
האמפרי בוג,,✓,,0,2,0
האמפרי בוגארט ואינגריד ברגמן,,,✓,0,0,2
האנאי הנג ' ירו,,,✓,0,0,2
האנה,,✓,✓,0,2,2
הגעה איך להגיע מצפון,✓,,,3,0,0
הדס ירון,,✓,✓,0,2,2
ההולנדי מייקל דודוק דה-ויט,✓,,,2,0,0
