  104 post sitemaps (0000-00 excluded, recent-first)
  [39/104] 190 films from sitemap, total OK: 190, 15min
  [40/104] 191 films from sitemap, total OK: 191, 15min
  [41/104] 192 films from sitemap, total OK: 192, 15min
  [42/104] 203 films from sitemap, total OK: 203, 15min
  [43/104] 217 films from sitemap, total OK: 217, 16min
  [44/104] 219 films from sitemap, total OK: 219, 16min
  [45/104] 225 films from sitemap, total OK: 225, 16min
  [46/104] 228 films from sitemap, total OK: 228, 16min
  [47/104] 238 films from sitemap, total OK: 238, 16min
  [48/104] 245 films from sitemap, total OK: 245, 17min
  [49/104] 246 films from sitemap, total OK: 246, 17min
  [50/104] 247 films from sitemap, total OK: 247, 17min
  [51/104] 248 films from sitemap, total OK: 248, 17min
  [52/104] 248 films from sitemap, total OK: 248, 17min
  [53/104] 255 films from sitemap, total OK: 255, 17min
  [54/104] 256 films from sitemap, total OK: 256, 18min
  [55/104] 257 films from sitemap, total OK: 257, 18min
  [56/104] 257 films from sitemap, total OK: 257, 18min
  [57/104] 262 films from sitemap, total OK: 262, 19min
  [58/104] 297 films from sitemap, total OK: 297, 19min
  [59/104] 304 films from sitemap, total OK: 304, 20min
  [60/104] 307 films from sitemap, total OK: 307, 20min
  [61/104] 308 films from sitemap, total OK: 308, 21min
  [62/104] 309 films from sitemap, total OK: 309, 21min
  [63/104] 311 films from sitemap, total OK: 311, 21min
  [64/104] 311 films from sitemap, total OK: 311, 21min
  [65/104] 318 films from sitemap, total OK: 318, 22min
  [66/104] 322 films from sitemap, total OK: 322, 22min
  [67/104] 354 films from sitemap, total OK: 354, 23min
  [68/104] 357 films from sitemap, total OK: 357, 24min
  [69/104] 361 films from sitemap, total OK: 361, 24min
  [70/104] 366 films from sitemap, total OK: 366, 24min
  [71/104] 372 films from sitemap, total OK: 372, 25min
  [72/104] 372 films from sitemap, total OK: 372, 25min
  [73/104] 377 films from sitemap, total OK: 377, 26min
  [74/104] 378 films from sitemap, total OK: 378, 26min
  [75/104] 381 films from sitemap, total OK: 381, 26min
  [76/104] 385 films from sitemap, total OK: 385, 27min
  [77/104] 405 films from sitemap, total OK: 405, 27min
  [78/104] 411 films from sitemap, total OK: 411, 28min
  [79/104] 419 films from sitemap, total OK: 419, 30min
  [80/104] 426 films from sitemap, total OK: 426, 30min
  [81/104] 428 films from sitemap, total OK: 428, 31min
  [82/104] 433 films from sitemap, total OK: 433, 31min
  [83/104] 433 films from sitemap, total OK: 433, 31min
  [84/104] 480 films from sitemap, total OK: 480, 34min
  [85/104] 497 films from sitemap, total OK: 497, 36min
  [86/104] 498 films from sitemap, total OK: 498, 38min
  [87/104] 510 films from sitemap, total OK: 510, 39min
  [88/104] 513 films from sitemap, total OK: 513, 40min
  [89/104] 685 films from sitemap, total OK: 685, 42min
  [90/104] 695 films from sitemap, total OK: 695, 44min
  [91/104] 702 films from sitemap, total OK: 702, 45min
  [92/104] 724 films from sitemap, total OK: 724, 48min
  [93/104] 734 films from sitemap, total OK: 734, 53min
  [94/104] 751 films from sitemap, total OK: 751, 55min
  [95/104] 771 films from sitemap, total OK: 771, 56min
  [96/104] 778 films from sitemap, total OK: 778, 58min
  [97/104] 806 films from sitemap, total OK: 806, 61min
  [98/104] 842 films from sitemap, total OK: 842, 68min
  [99/104] 907 films from sitemap, total OK: 907, 75min
  [100/104] 921 films from sitemap, total OK: 921, 76min
  [101/104] 925 films from sitemap, total OK: 925, 77min
  [102/104] 1247 films from sitemap, total OK: 1247, 80min
  [103/104] 1247 films from sitemap, total OK: 1247, 80min
  [104/104] 1247 films from sitemap, total OK: 1247, 80min

Done: 1247 CI films in 80.0 min
  With crew: 1240, with cast: 1092
  → data/cinemaofisrael/raw_films.json
