קטגוריה,שם,תפקיד,איפה,מקור
סגל אקדמי,פרופ' מיכל אביעד,פרופסור אמריטוס — קולנוע תיעודי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' אילן אביסר,פרופסור אמריטוס — תיאוריה ושואה בקולנוע,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' יגאל בורשטיין,פרופסור אמריטוס — ביקורת ותיאוריה,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' ניצן בן-שאול,פרופסור אמריטוס — נרטיב וקולנוע ישראלי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' שבתאי גביזון,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' ירון בלוך,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ד"ר שמואל דובדבני,סגל בכיר — תיאוריה וביקורת,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,מיה דרייפוס,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,מישל וינק,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' רן טל,סגל בכיר — קולנוע תיעודי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' ראז יוסף,סגל בכיר — תיאוריה וקולנוע קווירי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ד"ר יעל לוי,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ד"ר עידו לוויט,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ד"ר אורי לוין,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ד"ר אוהד לנדסמן,סגל בכיר — לימודי דוקומנטרי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,פרופ' אסף ציפור,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,תופיק עגבריה,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,אהוד בן-אריה,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,אסתר נמדר-תמם,סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,יוסף פיצ'דז',סגל בכיר,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf_snior
סגל אקדמי,ארנון גולדפינגר,מרצה — קולנוע תיעודי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,דוד אופק,מרצה — קולנוע תיעודי,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,ד"ר פבלו אוטין,מרצה,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,ארז דבורה,מרצה,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,סיגלית בנאי,מרצה,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,ד"ר שי בידרמן,מרצה חיצוני,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,תליה גלון,מרצה,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
סגל אקדמי,פרופ' איוון קוזלובסקי-גולן,ראשת המחלקה — שואה וקולנוע,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,פרופ' אורי רשף,סגל בכיר,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,ד"ר אירית פרוכטר-רונן,מרצה — קולנוע ישראלי ומזרח-תיכוני,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,ד"ר אורנה רביב,מרצה — תיאוריה ופוסט-הומניזם,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,ד"ר איציק רוזן,מרצה,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,ד"ר שולמית לר-אהרוני,מרצה,אוניברסיטת חיפה,https://arts.haifa.ac.il/units/film/staff/
סגל אקדמי,ד"ר אירית זקי,ראשת תוכנית MA — קולנוע תיעודי,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,רונן מחליס-בלזם,ראש תוכנית BA קולנוע,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,פרופ' פיליפ בלייש,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,פרופ' אורי סיון,מרצה בכיר — קולנוענות,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,פרופ' דורון צברי,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,שלומי אלקבץ,מרצה בכיר — בימוי,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,ד"ר דפנה שרינג,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,ד"ר ארז פרי,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,ד"ר יעל שנקר,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,אפרת כורם,מרצה בכיר,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,ד"ר מכאביט אברמזון,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,רנה אבו-פריחה,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,רובי אלמליח,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,נטי בתיטו,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,לב גולצר,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,יאל הדיה,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,אביב זיו,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,נהר אביגיל חסין,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,עפיר טריינין,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,גלית כהלון,מרצה חיצוני,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,יוני לחב,מרצה חיצוני,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,אבירם לוי,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,אלינור נחמיה,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,עומרי סנה,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,שפיר סרוסי,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,מיקי פולונסקי,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,דמיאן קיטייגרודסקי,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,בועז שמעון-ליאון,מרצה,מכללת ספיר,https://www.sapir.ac.il/staff/dep/529
סגל אקדמי,יעל עוז-סיני,ראשת המחלקה — בימוי אנימציה,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אסיה אייזנשטיין,מרצה — אנימציה קלאסית,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,איתמר אלקלעי,מרצה — בימוי סרטי קצר,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אסף אשרי,מרצה — תסריטאות וכתיבה יוצרת,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,שרון בלבן,מרצה — וידאו ארט,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,תמי ברנשטיין,מרצה — בימוי אנימציה,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,ניר ברגר,מרצה — כתיבה דרמטית,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אפרת ברגר,מרצה — עריכה קולנועית,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,נועא ברמן-הרצברג,מרצה — תסריטאות ופיתוח,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אייל גולדברג,מרצה — קולנוע תיעודי,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אראן היללי,מרצה — אנימציה ניסיונית,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,וורוניק אינבר,מרצה — עריכה ואמנות וידאו,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,תל קנטור,מרצה — אנימציה וקולנוע היברידי,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אמית לאור,מרצה — בימוי ותסריטאות,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,פרופ' יאיר לב,מרצה — בימוי תיעודי,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,שטב לוי,מרצה — עיצוב דמויות וstoryboard,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,קראם נאטור,מרצה — וידאו ארט ניסיוני,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,יארה עוזרי,מרצה — ניתוח קולנועי,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,רות פטיר,מרצה — וידאו ארט ניסיוני,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,ישראלה שאר,מרצה — דוקומנטרי וידאו,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אפרת שלם,מרצה — וידאו ארט,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,אוהד מילשטיין,מרצה — קולנוע תיעודי,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,מורן סומר,מרצה — stop motion ואנימציה,בצלאל,https://www.bezalel.ac.il/en/node/179
סגל אקדמי,דנה בלנקשטיין כהן,מנהלת בית הספר,סם שפיגל,https://www.jsfs.co.il/about
סגל אקדמי,שיר שושני,סגן מנהל — ראש מחלקת קולנוע וטלוויזיה,סם שפיגל,https://www.jsfs.co.il/about
סגל אקדמי,רנן שור,מייסד ומנהל לשעבר — חוקר וסופר,סם שפיגל,https://www.jsfs.co.il/about
סגל אקדמי,עמרי לוי,מנהל אקדמי — בימוי ותסריטאות,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,יאיר רוה,מרצה — ביקורת קולנוע,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,ציון ארבל,מרצה — בימוי,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,שוקי בן-נאים,מרצה — יצירת סדרות,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,איציק פורטל,מרצה — קולנוענות,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,גולן ריז,מרצה — בימוי תיעודי,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,דקלה קידר,מרצה — תסריטאות,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,לינה שפלין,מרצה — דוקומנטרי וסדרות,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,ד"ר זוהר אלטמן,מרצה,מעלה,https://www.maale.co.il/he/about/teachers
סגל אקדמי,מיטל אבוקסיס,ראשת בית הספר — חוקרת ובמאית,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,פרופ' אבנר פינגלרט,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר אורית נומא,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר אלה באואר-ברמן,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,דקלה שטרית,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר ליאת סבין בן-שושן,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר מאיה פנינה מאיר,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר שגית דינר-כהן,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,ד"ר שרון אשכנזי,סגל,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,גידי אורשר,מרצה — שידור,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,אריק לופצקי,מרצה — בימוי,סמינר הקיבוצים,https://www.smkb.ac.il/academic-programs/undergraduate/arts-faculty/media-film/about/faculty/
סגל אקדמי,פרופ' רעיה מורג,ראשת מסלול מדיה חזותית — לימודי קולנוע,האוניברסיטה העברית,https://communication.huji.ac.il/
סגל אקדמי,פרופ' דן כספי,סגל בכיר — לימודי מדיה,אוניברסיטת בן גוריון,https://in.bgu.ac.il/humsos/comm/
סגל אקדמי,ד"ר נלי אליאס,מרצה — מדיה ומיעוטים,אוניברסיטת בן גוריון,https://in.bgu.ac.il/humsos/comm/
סגל אקדמי,ד"ר תמר אשורי,מרצה — דוקומנטרי ומדיה,אוניברסיטת בן גוריון,https://in.bgu.ac.il/humsos/comm/
סגל אקדמי,ד"ר צבי רייך,מרצה,אוניברסיטת בן גוריון,https://in.bgu.ac.il/humsos/comm/
סגל אקדמי,ד"ר גלית נמרוד,מרצה,אוניברסיטת בן גוריון,https://in.bgu.ac.il/humsos/comm/
סגל אקדמי,פרופ' קארין נהון,דקאן,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' הדס ארל,סגן דקאן,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' נועם למלשטריך לטר,דקאן מייסד אמריטוס,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' טל שמואל-עזרן,תקשורת בינלאומית,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' גדי וולספלד,מדיה ופוליטיקה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' מורן ירחי,דיפלומטיה ציבורית ומדיה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' צחי הייאת,מידע ומדיה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' קרן אייל,תקשורת אסטרטגית,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' יאיר גלילי,ספורט מדיה וחברה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' גבריאל וויימן,לימודי מדיה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' איתן גילבואה,מדיה ודיפלומטיה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
סגל אקדמי,פרופ' דורון פרידמן,מציאות מורחבת ומדיה,אוניברסיטת רייכמן,https://www.runi.ac.il/schools/communication/faculty
עיתונאים ומבקרים,רוי יודקביץ',מבקר קולנוע ומנחה פודקאסט,"בלוג ""סריטה"", פודקאסט ""שעת סיפור""",
עיתונאים ומבקרים,יניב אידלשטיין,מתרגם סרטים וכותב,"בלוג ""סריטה""",
עיתונאים ומבקרים,מיכל ליבר רונן,מבקרת קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,יעל מאורר,מבקרת קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,אוהד לנדסמן,מבקר קולנוע וחבר פורום,"פורום מבקרי הקולנוע בישראל, אוניברסיטת תל אביב",
עיתונאים ומבקרים,איתן ווייץ,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,אלברט גבאי,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,נטליה ירמין,מבקרת קולנוע וחברת פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,נעמה רק,עורכת פודקאסט וחברת פורום,"פורום מבקרי הקולנוע בישראל, פודקאסט ""קבוצת ביקורת""",
עיתונאים ומבקרים,עידו רוזן,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,שי שגב,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,תומר קמרלינג,מבקר קולנוע וחבר פורום,"פורום מבקרי הקולנוע בישראל, mako",
עיתונאים ומבקרים,נגה חביון,חברת מערכת פודקאסט,"פודקאסט ""תיבת תעודה""",
עיתונאים ומבקרים,גילי פורת,מנחת פודקאסט,"פודקאסט ""Trashtalk""",
עיתונאים ומבקרים,שני קיניסו,מנחת פודקאסט,"פודקאסט ""Trashtalk""",
עיתונאים ומבקרים,דן שדור,מנהל ועורך פודקאסט,"פודקאסט ""תיבת תעודה"" — דוקומנטרי",
עיתונאים ומבקרים,יואב אברמוביץ',מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,נמרוד אלדאה,מבקר קולנוע ויוצר,ערוצי תקשורת וניו-מדיה,
עיתונאים ומבקרים,לירון רחל ארז,מבקרת קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,אמיר בוגן,מבקר קולנוע,ynet,
עיתונאים ומבקרים,נתן ברנד,איש תקשורת ומבקר קולנוע,ערוצי תקשורת ומדיה,
עיתונאים ומבקרים,נתן גרוס,מבקר קולנוע היסטורי,עיתונות ארכיון,
עיתונאים ומבקרים,דוד גרינברג,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,יובל ריבלין,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,שאול שיר-רן,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,מתן שגב,מבקר קולנוע,מדורי קולנוע שונים,
